FID,Elevat,Slope,ShrubCov,x_wgs,y_wgs
0,719,-9999.0000000,0.0040000,259707.702052000007825,3890914.050133999902755
1,721,-9999.0000000,0.0028000,259737.702052000007825,3890914.050133999902755
2,725,-9999.0000000,0.0004000,259767.702052000007825,3890914.050133999902755
3,718,4.0725899,0.0068000,259707.702052000007825,3890884.050133999902755
4,721,7.5061402,0.0116000,259737.702052000007825,3890884.050133999902755
5,726,8.1044397,0.0088000,259767.702052000007825,3890884.050133999902755
6,730,6.2819400,0.0140000,259797.702052000007825,3890884.050133999902755
7,733,4.3933802,0.0196000,259827.702052000007825,3890884.050133999902755
8,734,3.6313901,0.0060000,259857.702052000007825,3890884.050133999902755
9,736,4.0586600,0.0000000,259887.702052000007825,3890884.050133999902755
10,719,3.9454801,0.0004000,259677.702052000007825,3890854.050133999902755
11,720,6.0545001,0.0296000,259707.702052000007825,3890854.050133999902755
12,724,7.1171799,0.0284000,259737.702052000007825,3890854.050133999902755
13,728,6.4579501,0.0304000,259767.702052000007825,3890854.050133999902755
14,731,5.1396899,0.0324000,259797.702052000007825,3890854.050133999902755
15,733,3.3722899,0.0236000,259827.702052000007825,3890854.050133999902755
16,733,3.7238700,0.0208000,259857.702052000007825,3890854.050133999902755
17,735,4.8225398,0.0080000,259887.702052000007825,3890854.050133999902755
18,737,4.3804898,0.0260000,259917.702052000007825,3890854.050133999902755
19,739,2.7199199,0.0060000,259947.702052000007825,3890854.050133999902755
20,740,1.3917600,0.0000000,259977.702052000007825,3890854.050133999902755
21,721,3.4389100,0.0040000,259677.702052000007825,3890824.050133999902755
22,723,3.9454801,0.0344000,259707.702052000007825,3890824.050133999902755
23,725,3.4717400,0.0480000,259737.702052000007825,3890824.050133999902755
24,726,5.7204299,0.0240000,259767.702052000007825,3890824.050133999902755
25,729,6.7958598,0.0264000,259797.702052000007825,3890824.050133999902755
26,730,5.7498498,0.0384000,259827.702052000007825,3890824.050133999902755
27,731,5.0956202,0.0568000,259857.702052000007825,3890824.050133999902755
28,733,5.6412201,0.0836000,259887.702052000007825,3890824.050133999902755
29,736,5.4276400,0.0600000,259917.702052000007825,3890824.050133999902755
30,739,2.7818899,0.0184000,259947.702052000007825,3890824.050133999902755
31,739,3.0543699,0.0156000,259977.702052000007825,3890824.050133999902755
32,737,8.2468901,0.0028000,260007.702052000007825,3890824.050133999902755
33,731,9.4681301,0.0052000,260037.702052000007825,3890824.050133999902755
34,727,3.8436699,0.0004000,260067.702052000007825,3890824.050133999902755
35,727,2.1343000,0.0000000,260097.702052000007825,3890824.050133999902755
36,721,5.0623102,0.0260000,259677.702052000007825,3890794.050133999902755
37,723,4.8225398,0.0496000,259707.702052000007825,3890794.050133999902755
38,723,4.6799102,0.0892000,259737.702052000007825,3890794.050133999902755
39,723,5.6412201,0.0292000,259767.702052000007825,3890794.050133999902755
