FID,Slope,Elevat,ShrubCov,x_utm,y_utm
0,8.4685497,816,0.3640000,256384.200000000011642,3895554.600000000093132
1,13.2145996,822,0.4500000,256414.200000000011642,3895554.600000000093132
2,16.4405994,830,0.4436000,256444.200000000011642,3895554.600000000093132
3,9.2302198,820,0.6196000,256354.200000000011642,3895524.600000000093132
4,9.7873201,821,0.3712000,256384.200000000011642,3895524.600000000093132
5,11.9947004,826,0.1324000,256414.200000000011642,3895524.600000000093132
6,13.6402998,833,0.3156000,256444.200000000011642,3895524.600000000093132
7,3.2163100,824,0.3564000,256324.200000000011642,3895494.600000000093132
8,3.4389100,823,0.3464000,256354.200000000011642,3895494.600000000093132
9,6.1373801,825,0.5120000,256384.200000000011642,3895494.600000000093132
10,9.8764696,827,0.5012000,256414.200000000011642,3895494.600000000093132
11,12.7097998,833,0.3240000,256444.200000000011642,3895494.600000000093132
12,11.2409000,841,0.2876000,256474.200000000011642,3895494.600000000093132
13,2.0878899,821,0.0784000,256294.200000000011642,3895464.600000000093132
14,2.8821800,821,0.0716000,256324.200000000011642,3895464.600000000093132
15,3.5842500,823,0.0216000,256354.200000000011642,3895464.600000000093132
16,6.4666300,825,0.0828000,256384.200000000011642,3895464.600000000093132
17,9.4274101,830,0.2288000,256414.200000000011642,3895464.600000000093132
18,10.4828997,836,0.2256000,256444.200000000011642,3895464.600000000093132
19,8.4591103,841,0.1024000,256474.200000000011642,3895464.600000000093132
20,5.1737099,819,0.0716000,256264.200000000011642,3895434.600000000093132
21,4.2226901,820,0.0296000,256294.200000000011642,3895434.600000000093132
22,4.7636399,821,0.0248000,256324.200000000011642,3895434.600000000093132
23,6.3175502,823,0.0568000,256354.200000000011642,3895434.600000000093132
24,8.3004799,827,0.0664000,256384.200000000011642,3895434.600000000093132
25,8.5824804,831,0.0816000,256414.200000000011642,3895434.600000000093132
26,7.4540100,835,0.1108000,256444.200000000011642,3895434.600000000093132
27,6.7296901,839,0.1756000,256474.200000000011642,3895434.600000000093132
28,7.1722999,841,0.1364000,256504.200000000011642,3895434.600000000093132
29,7.8255301,817,0.0744000,256264.200000000011642,3895404.600000000093132
30,7.7254100,816,0.1508000,256294.200000000011642,3895404.600000000093132
31,7.5726199,817,0.2372000,256324.200000000011642,3895404.600000000093132
32,9.2566795,820,0.0476000,256354.200000000011642,3895404.600000000093132
33,10.7444000,826,0.0212000,256384.200000000011642,3895404.600000000093132
34,8.8487501,832,0.0376000,256414.200000000011642,3895404.600000000093132
35,5.6412201,835,0.0696000,256444.200000000011642,3895404.600000000093132
36,5.4276400,836,0.1244000,256474.200000000011642,3895404.600000000093132
37,9.1429701,836,0.1760000,256504.200000000011642,3895404.600000000093132
38,10.5783005,840,0.0800000,256534.200000000011642,3895404.600000000093132
39,10.9336996,810,0.0896000,256234.200000000011642,3895374.600000000093132
40,9.1910295,810,0.1372000,256264.200000000011642,3895374.600000000093132
41,7.8538899,812,0.3024000,256294.200000000011642,3895374.600000000093132
42,7.4165401,814,0.0976000,256324.200000000011642,3895374.600000000093132
43,9.3218403,818,0.1612000,256354.200000000011642,3895374.600000000093132
44,11.0825996,823,0.0560000,256384.200000000011642,3895374.600000000093132
45,10.2194004,829,0.1208000,256414.200000000011642,3895374.600000000093132
46,7.5726199,833,0.0928000,256444.200000000011642,3895374.600000000093132
47,7.1874099,834,0.1508000,256474.200000000011642,3895374.600000000093132
48,8.7924099,831,0.1504000,256504.200000000011642,3895374.600000000093132
49,12.2994003,834,0.1428000,256534.200000000011642,3895374.600000000093132
50,12.1743002,837,0.0884000,256564.200000000011642,3895374.600000000093132
51,10.1959000,800,0.0544000,256174.200000000011642,3895344.600000000093132
52,8.7356901,803,0.0808000,256204.200000000011642,3895344.600000000093132
53,7.6675801,806,0.0948000,256234.200000000011642,3895344.600000000093132
54,7.0144300,806,0.1068000,256264.200000000011642,3895344.600000000093132
55,7.1796498,809,0.0720000,256294.200000000011642,3895344.600000000093132
56,7.8255301,812,0.2684000,256324.200000000011642,3895344.600000000093132
57,8.7924099,817,0.3336000,256354.200000000011642,3895344.600000000093132
58,8.4591103,821,0.0948000,256384.200000000011642,3895344.600000000093132
59,7.8326302,826,0.0412000,256414.200000000011642,3895344.600000000093132
60,7.6675801,828,0.0416000,256444.200000000011642,3895344.600000000093132
61,7.9173002,829,0.1952000,256474.200000000011642,3895344.600000000093132
62,7.6092901,827,0.2384000,256504.200000000011642,3895344.600000000093132
63,9.1429701,828,0.1712000,256534.200000000011642,3895344.600000000093132
64,10.7444000,830,0.1608000,256564.200000000011642,3895344.600000000093132
65,11.1786003,832,0.1660000,256594.200000000011642,3895344.600000000093132
66,6.1657600,794,0.0164000,256144.200000000011642,3895314.600000000093132
67,7.4165401,797,0.1548000,256174.200000000011642,3895314.600000000093132
68,7.4540100,800,0.0764000,256204.200000000011642,3895314.600000000093132
69,6.8532200,802,0.0408000,256234.200000000011642,3895314.600000000093132
70,6.8040900,803,0.2300000,256264.200000000011642,3895314.600000000093132
71,8.0632496,808,0.4392000,256294.200000000011642,3895314.600000000093132
72,9.3747797,812,0.2856000,256324.200000000011642,3895314.600000000093132
73,9.0155096,818,0.4136000,256354.200000000011642,3895314.600000000093132
74,5.0062799,822,0.2536000,256384.200000000011642,3895314.600000000093132
75,5.1506500,824,0.0248000,256414.200000000011642,3895314.600000000093132
76,6.9904900,825,0.0708000,256444.200000000011642,3895314.600000000093132
77,7.3939600,825,0.1724000,256474.200000000011642,3895314.600000000093132
78,6.4231501,824,0.1964000,256504.200000000011642,3895314.600000000093132
79,6.3175502,825,0.1340000,256534.200000000011642,3895314.600000000093132
80,7.5431499,826,0.0968000,256564.200000000011642,3895314.600000000093132
81,9.6972704,827,0.1664000,256594.200000000011642,3895314.600000000093132
82,12.0306997,826,0.0828000,256624.200000000011642,3895314.600000000093132
83,2.2284701,792,0.0796000,256114.200000000011642,3895284.600000000093132
84,4.0586600,792,0.1608000,256144.200000000011642,3895284.600000000093132
85,6.3969202,795,0.1236000,256174.200000000011642,3895284.600000000093132
86,7.0144300,797,0.0820000,256204.200000000011642,3895284.600000000093132
87,8.1112804,798,0.1144000,256234.200000000011642,3895284.600000000093132
88,10.0249996,804,0.3252000,256264.200000000011642,3895284.600000000093132
89,9.5086603,809,0.2536000,256294.200000000011642,3895284.600000000093132
90,9.5086603,814,0.2584000,256324.200000000011642,3895284.600000000093132
91,7.1874099,820,0.1624000,256354.200000000011642,3895284.600000000093132
92,4.3933802,822,0.1012000,256384.200000000011642,3895284.600000000093132
93,7.8609600,820,0.0484000,256414.200000000011642,3895284.600000000093132
94,9.6972704,821,0.0440000,256444.200000000011642,3895284.600000000093132
95,9.2328701,820,0.0692000,256474.200000000011642,3895284.600000000093132
96,8.1861601,821,0.1664000,256504.200000000011642,3895284.600000000093132
97,8.0010405,822,0.1096000,256534.200000000011642,3895284.600000000093132
98,8.7672501,823,0.0840000,256564.200000000011642,3895284.600000000093132
99,10.1011000,821,0.1632000,256594.200000000011642,3895284.600000000093132
100,9.5662403,820,0.1320000,256624.200000000011642,3895284.600000000093132
101,6.2010498,819,0.1416000,256654.200000000011642,3895284.600000000093132
102,5.0511498,791,0.1172000,256084.200000000011642,3895254.600000000093132
103,4.0586600,791,0.1260000,256114.200000000011642,3895254.600000000093132
104,4.5202298,791,0.2404000,256144.200000000011642,3895254.600000000093132
105,6.0637698,792,0.0712000,256174.200000000011642,3895254.600000000093132
106,6.6963501,793,0.1232000,256204.200000000011642,3895254.600000000093132
107,10.1443005,795,0.2312000,256234.200000000011642,3895254.600000000093132
108,12.6466999,803,0.1128000,256264.200000000011642,3895254.600000000093132
109,10.1604004,809,0.1956000,256294.200000000011642,3895254.600000000093132
110,8.9356298,814,0.2428000,256324.200000000011642,3895254.600000000093132
111,8.6976604,817,0.0908000,256354.200000000011642,3895254.600000000093132
112,9.3041201,818,0.0680000,256384.200000000011642,3895254.600000000093132
113,10.8900995,815,0.0320000,256414.200000000011642,3895254.600000000093132
114,11.7774000,814,0.0496000,256444.200000000011642,3895254.600000000093132
115,11.8502998,815,0.0528000,256474.200000000011642,3895254.600000000093132
116,11.4617996,816,0.1516000,256504.200000000011642,3895254.600000000093132
117,11.5976000,817,0.0768000,256534.200000000011642,3895254.600000000093132
118,11.3195000,817,0.0800000,256564.200000000011642,3895254.600000000093132
119,9.7648897,816,0.1752000,256594.200000000011642,3895254.600000000093132
120,6.9904900,815,0.1676000,256624.200000000011642,3895254.600000000093132
121,9.5834398,817,0.2028000,256654.200000000011642,3895254.600000000093132
122,7.5061402,788,0.0728000,256084.200000000011642,3895224.600000000093132
123,5.3228502,788,0.2676000,256114.200000000011642,3895224.600000000093132
124,4.2226901,788,0.1364000,256144.200000000011642,3895224.600000000093132
125,4.2626901,789,0.1484000,256174.200000000011642,3895224.600000000093132
126,5.0623102,790,0.2720000,256204.200000000011642,3895224.600000000093132
127,10.1604004,793,0.1784000,256234.200000000011642,3895224.600000000093132
128,12.3515997,801,0.0712000,256264.200000000011642,3895224.600000000093132
129,10.7595997,806,0.0512000,256294.200000000011642,3895224.600000000093132
130,9.8986301,810,0.0520000,256324.200000000011642,3895224.600000000093132
131,9.7480297,811,0.1016000,256354.200000000011642,3895224.600000000093132
132,10.0249996,812,0.1140000,256384.200000000011642,3895224.600000000093132
133,10.7798004,810,0.1744000,256414.200000000011642,3895224.600000000093132
134,10.2247000,807,0.0588000,256444.200000000011642,3895224.600000000093132
135,10.3731003,808,0.0256000,256474.200000000011642,3895224.600000000093132
136,10.1011000,809,0.1980000,256504.200000000011642,3895224.600000000093132
137,10.1819000,810,0.0404000,256534.200000000011642,3895224.600000000093132
138,9.7198696,810,0.1244000,256564.200000000011642,3895224.600000000093132
139,7.2106700,811,0.0832000,256594.200000000011642,3895224.600000000093132
140,5.7498498,812,0.1676000,256624.200000000011642,3895224.600000000093132
141,12.4722996,816,0.1904000,256654.200000000011642,3895224.600000000093132
142,16.0909996,826,0.2172000,256684.200000000011642,3895224.600000000093132
143,7.5378199,781,0.1684000,256054.200000000011642,3895194.600000000093132
144,7.1796498,783,0.2960000,256084.200000000011642,3895194.600000000093132
145,5.0956202,786,0.1868000,256114.200000000011642,3895194.600000000093132
146,3.0357201,787,0.2560000,256144.200000000011642,3895194.600000000093132
147,2.4563899,788,0.2632000,256174.200000000011642,3895194.600000000093132
148,4.5823102,789,0.1448000,256204.200000000011642,3895194.600000000093132
149,8.4591103,793,0.1356000,256234.200000000011642,3895194.600000000093132
150,9.7367802,798,0.0736000,256264.200000000011642,3895194.600000000093132
151,10.0304003,802,0.0588000,256294.200000000011642,3895194.600000000093132
152,9.3336296,805,0.0492000,256324.200000000011642,3895194.600000000093132
153,8.1112804,807,0.0888000,256354.200000000011642,3895194.600000000093132
154,7.7254100,807,0.0884000,256384.200000000011642,3895194.600000000093132
155,8.3801899,805,0.0720000,256414.200000000011642,3895194.600000000093132
156,6.7213702,803,0.2844000,256444.200000000011642,3895194.600000000093132
157,6.4925699,804,0.1800000,256474.200000000011642,3895194.600000000093132
158,6.1738501,806,0.1308000,256504.200000000011642,3895194.600000000093132
159,6.2010498,806,0.1352000,256534.200000000011642,3895194.600000000093132
160,5.7498498,806,0.0944000,256564.200000000011642,3895194.600000000093132
161,6.6206899,808,0.1340000,256594.200000000011642,3895194.600000000093132
